"8520","# doc = first-class.2.txt","","","","","","","","","","","","","","","",""
"8521","# speaker = К","","","","","","","","","","","","","","","",""
"8522","# sent = 725","","","","","","","","","","","","","","","",""
"8611","","и","И","CONJ","","","больше месяца / _и_ все-таки она меня","и","","","","","","CONJ","И","CONJ","И"
"8612","","все-таки","ВСЕ-ТАКИ","PART","","","месяца / и _все-таки_ она меня /","и","к","а","т","-","е","PART","ВСЕ-ТАКИ","PART","И"
"8613","","она","ОНА","SPRO sg 3p f nom","","","/ и все-таки _она_ меня / попросила","а","н","о","","","","SPRO","ОНА","SPRO sg 3p f nom","А"
"8614","","меня","Я","SPRO sg 1p - acc","","","и все-таки она _меня_ / попросила почитать","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8615","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8616","","попросила","ПОПРОСИТЬ","V pf praet sg indic f -","","","она меня / _попросила_ почитать в букваре","а","л","и","с","о","р","V","ПОПРОСИТЬ","V pf praet sg indic f -","Ь"
"8617","","почитать","ПОЧИТАТЬ","V ipf - - inf - -","","","меня / попросила _почитать_ в букваре //","ь","т","а","т","и","ч","V","ПОЧИТАТЬ","V ipf - - inf - -","Ь"
"8618","","в","В","PR","","","/ попросила почитать _в_ букваре // Ну","в","","","","","","PR","В","PR","В"
"8619","","букваре","БУКВАРЬ","S m inan loc sg","","","попросила почитать в _букваре_ // Ну а","е","р","а","в","к","у","S","БУКВАРЬ","S m inan loc sg","Ь"
"8620","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8621","","Ну","НУ","PART","","","в букваре // _Ну_ а раз на","у","н","","","","","PART","НУ","PART","У"
"8622","","а","А","CONJ","","","букваре // Ну _а_ раз на меня","а","","","","","","CONJ","А","CONJ","А"
"8623","","раз","РАЗ","PART","","","// Ну а _раз_ на меня не","з","а","р","","","","S","РАЗ","S m inan nom sg","З"
"8624","","на","НА","PR","","","Ну а раз _на_ меня не обращали","а","н","","","","","PR","НА","PR","А"
"8625","","меня","Я","SPRO sg 1p - acc","","","а раз на _меня_ не обращали внимания","я","н","е","м","","","SPRO","Я","SPRO sg 1p - acc","Я"
"8626","","не","НЕ","PART","","","раз на меня _не_ обращали внимания ,","е","н","","","","","PART","НЕ","PART","Е"
"8627","","обращали","ОБРАЩАТЬ","V ipf praet pl indic - -","","","на меня не _обращали_ внимания , я","и","л","а","щ","а","р","V","ОБРАЩАТЬ","V ipf praet pl indic - -","Ь"
"8628","","внимания","ВНИМАНИЕ","S n inan gen sg","","","меня не обращали _внимания_ , я /","я","и","н","а","м","и","S","ВНИМАНИЕ","S n inan gen sg","Е"
"8629","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8630","","я","Я","SPRO sg 1p - nom","","","обращали внимания , _я_ / собственно ,","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8631","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8632","","собственно","СОБСТВЕННО","ADV -","","",", я / _собственно_ , и читать","о","н","н","е","в","т","ADV","СОБСТВЕННО","ADV -","О"
"8633","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8634","","и","И","CONJ","","","/ собственно , _и_ читать не умел","и","","","","","","CONJ","И","CONJ","И"
"8635","","читать","ЧИТАТЬ","V ipf - - inf - -","","","собственно , и _читать_ не умел .","ь","т","а","т","и","ч","V","ЧИТАТЬ","V ipf - - inf - -","Ь"
"8636","","не","НЕ","PART","","",", и читать _не_ умел . //","е","н","","","","","PART","НЕ","PART","Е"
"8637","","умел","УМЕТЬ","V ipf praet sg indic m -","","","и читать не _умел_ . // Ну","л","е","м","у","","","V","УМЕТЬ","V ipf praet sg indic m -","Ь"
"8638","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8639","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8640","","Ну","НУ","PART","","","умел . // _Ну_ я стал ей","у","н","","","","","PART","НУ","PART","У"
"8641","","я","Я","SPRO sg 1p - nom","","",". // Ну _я_ стал ей рассказывать","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8642","","стал","СТАТЬ","V pf praet sg indic m -","","","// Ну я _стал_ ей рассказывать ...","л","а","т","с","","","V","СТАТЬ","V pf praet sg indic m -","Ь"
"8643","","ей","ОНА","SPRO sg 3p f dat","","","Ну я стал _ей_ рассказывать ... ","й","е","","","","","SPRO","ОНА","SPRO sg 3p f dat","А"
"8644","","рассказывать","РАССКАЗЫВАТЬ","V ipf - - inf - -","","","я стал ей _рассказывать_ ...  ","ь","т","а","в","ы","з","V","РАССКАЗЫВАТЬ","V ipf - - inf - -","Ь"
"8645","","...","...","PUNCT","","","","","","","","","","PUNCT","","",""
"8646","","","","","","","","","","","","","","","","",""
"8647","# sent = 726","","","","","","","","","","","","","","","",""
"8648","","Там","ТАМ","ADV 0","","","...   _Там_ смотя на картинки","м","а","т","","","","ADV","ТАМ","ADV -","М"
"8649","","смотя","СМОТЯ","S f inan nom sg","distort","","  Там _смотя_ на картинки ,","я","т","о","м","с","","S","СМОТЯ","S f anim nom sg","Я"
"8650","","на","НА","PR","",""," Там смотя _на_ картинки , стал","а","н","","","","","PR","НА","PR","А"
"8651","","картинки","КАРТИНКА","S f inan gen sg","","","Там смотя на _картинки_ , стал ей","и","к","н","и","т","р","S","КАРТИНКА","S f inan gen sg","А"
"8652","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8653","","стал","СТАТЬ","V pf praet sg indic m -","","","на картинки , _стал_ ей рассказывать :","л","а","т","с","","","V","СТАТЬ","V pf praet sg indic m -","Ь"
"8654","","ей","ОНА","SPRO sg 3p f dat","","","картинки , стал _ей_ рассказывать : ""","й","е","","","","","SPRO","ОНА","SPRO sg 3p f dat","А"
"8655","","рассказывать","РАССКАЗЫВАТЬ","V ipf - - inf - -","","",", стал ей _рассказывать_ : "" Мама","ь","т","а","в","ы","з","V","РАССКАЗЫВАТЬ","V ipf - - inf - -","Ь"
"8656","",":",":","PUNCT","","","","","","","","","","PUNCT","","",""
"8657","","""","""","PUNCT","","","","","","","","","","PUNCT","","",""
"8658","","Мама","МАМА","S f anim nom sg","","","рассказывать : "" _Мама_ мыла раму ..","а","м","а","м","","","S","МАМА","S f anim nom sg","А"
"8659","","мыла","МЫТЬ","V ipf praet sg indic f -","","",": "" Мама _мыла_ раму .. ""","а","л","ы","м","","","V","МЫТЬ","V ipf praet sg indic f -","Ь"
"8660","","раму","РАМА","S f inan acc sg","","",""" Мама мыла _раму_ .. "" -","у","м","а","р","","","S","РАМА","S f inan acc sg","А"
"8661","","..","..","PUNCT","","","","","","","","","","PUNCT","","",""
"8662","","""","""","PUNCT","","","","","","","","","","PUNCT","","",""
"8663","","-","-","PUNCT","","","","","","","","","","PUNCT","","",""
"8664","","ну","НУ","PART","","",".. "" - _ну_ , что-то еще","у","н","","","","","PART","НУ","PART","У"
"8665","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8666","","что-то","ЧТО-ТО","SPRO n inan nom sg","","","- ну , _что-то_ еще . //","о","т","-","о","т","ч","SPRO","ЧТО-ТО","S n - nom sg","О"
"8667","","еще","ЕЩЕ","ADV -","","","ну , что-то _еще_ . // Она","е","щ","е","","","","ADV","ЕЩЕ","ADV -","Е"
"8668","",".",".","PUNCT","","","","","","","","","","PUNCT","","",""
"8669","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8670","","Она","ОНА","SPRO sg 3p f nom","","","еще . // _Она_ врубилась , что","а","н","о","","","","SPRO","ОНА","SPRO sg 3p f nom","А"
"8671","","врубилась","ВРУБИТЬСЯ","V pf praet sg indic f -","","",". // Она _врубилась_ , что я","ь","с","а","л","и","б","V","ВРУБИТЬСЯ","V pf praet sg indic f -","Я"
"8672","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8673","","что","ЧТО","CONJ","","","Она врубилась , _что_ я читать не","о","т","ч","","","","CONJ","ЧТО","CONJ","О"
"8674","","я","Я","SPRO sg 1p - nom","","","врубилась , что _я_ читать не умею","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8675","","читать","ЧИТАТЬ","V ipf - - inf - -","","",", что я _читать_ не умею ,","ь","т","а","т","и","ч","V","ЧИТАТЬ","V ipf - - inf - -","Ь"
"8676","","не","НЕ","PART","","","что я читать _не_ умею , сказала","е","н","","","","","PART","НЕ","PART","Е"
"8677","","умею","УМЕТЬ","V ipf praes sg indic - 1p","","","я читать не _умею_ , сказала моей","ю","е","м","у","","","V","УМЕТЬ","V ipf praes sg indic - 1p","Ь"
"8678","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8679","","сказала","СКАЗАТЬ","V pf praet sg indic f -","","","не умею , _сказала_ моей матери ,","а","л","а","з","а","к","V","СКАЗАТЬ","V pf praet sg indic f -","Ь"
"8680","","моей","МОЙ","APRO - dat sg plen f -","","","умею , сказала _моей_ матери , /","й","е","о","м","","","APRO","МОЙ","A - ins sg plen f -","Й"
"8681","","матери","МАТЕРЬ","S f anim dat sg","","",", сказала моей _матери_ , / вот","и","р","е","т","а","м","S","МАТЕРЬ","S f anim gen sg","Ь"
"8682","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8683","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8684","","вот","ВОТ","PART","","","матери , / _вот_ // Мать /","т","о","в","","","","PART","ВОТ","PART","Т"
"8685","","//","//","PUNCT","","","","","","","","","","PUNCT","","",""
"8686","","Мать","МАТЬ","S f anim nom sg","","","/ вот // _Мать_ / позанималась /","ь","т","а","м","","","S","МАТЬ","S f anim nom sg","Ь"
"8687","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8688","","позанималась","ПОЗАНИМАТЬСЯ","V pf praet sg indic f -","","","// Мать / _позанималась_ / немного со","ь","с","а","л","а","м","V","ПОЗАНИМАТЬСЯ","V pf praet sg indic f -","Я"
"8689","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8690","","немного","НЕМНОГО","ADV  0","","","/ позанималась / _немного_ со мной ,","о","г","о","н","м","е","ADV","НЕМНОГО","ADV -","О"
"8691","","со","СО","PR","","","позанималась / немного _со_ мной , ну","о","с","","","","","PR","СО","PR","О"
"8692","","мной","Я","SPRO sg 1p - ins","","","/ немного со _мной_ , ну /","й","о","н","м","","","SPRO","Я","SPRO sg 1p - ins","Я"
"8693","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8694","","ну","НУ","PART","","","со мной , _ну_ / я быстро","у","н","","","","","PART","НУ","PART","У"
"8695","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8696","","я","Я","SPRO sg 1p - nom","","",", ну / _я_ быстро все это","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8697","","быстро","БЫСТРО","ADV -","","","ну / я _быстро_ все это понял","о","р","т","с","ы","б","ADV","БЫСТРО","ADV -","О"
"8698","","все","ВСЕ","SPRO acc sg","","","/ я быстро _все_ это понял /","е","с","в","","","","S","ВСЕ","S - - acc pl","Е"
"8699","","это","ЭТО","SPRO n - nom sg","","","я быстро все _это_ понял / и","о","т","э","","","","SPRO","ЭТО","S n - nom sg","О"
"8700","","понял","ПОНЯТЬ","V pf praet sg indic m -","","","быстро все это _понял_ / и в","л","я","н","о","п","","V","ПОНЯТЬ","V pf praet sg indic m -","Ь"
"8701","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8702","","и","И","CONJ","","","это понял / _и_ в течении где-то","и","","","","","","CONJ","И","CONJ","И"
"8703","","в","В","PR","","","понял / и _в_ течении где-то до","в","","","","","","PR","В","PR","В"
"8704","","течении","ТЕЧЕНИЕ","PR","distort","","/ и в _течении_ где-то до Нового","и","и","н","е","ч","е","S","ТЕЧЕНИЕ","S n inan loc sg","Е"
"8705","","где-то","ГДЕ-ТО","ADV -","","","и в течении _где-то_ до Нового года","о","т","-","е","д","г","ADV","ГДЕ-ТО","ADV -","О"
"8706","","до","ДО","PR","","","в течении где-то _до_ Нового года ,","о","д","","","","","PR","ДО","PR","О"
"8707","","Нового","НОВЫЙ","A - gen sg plen m -","","","течении где-то до _Нового_ года , то есть","о","г","о","в","о","н","A","НОВЫЙ","A - gen sg plen m -","Й"
"8708","","года","ГОД","S m inan gen sg","","","где-то до Нового _года_ , то есть за","а","д","о","г","","","S","ГОД","S m inan gen sg","Д"
"8709","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
"8710","","то есть","то есть","CONJ","","","Нового года , _то есть_ за первое полугодие","ь","т","с","е"," ","о","CONJ","то есть","ADV -","ь"
"8711","","за","ЗА","PR","","","года , то есть _за_ первое полугодие я","а","з","","","","","PR","ЗА","PR","А"
"8712","","первое","ПЕРВЫЙ","ANUM - acc sg plen n inan","","",", то есть за _первое_ полугодие я прочитал","е","о","в","р","е","п","A","ПЕРВЫЙ","A - acc sg plen n inan","Й"
"8713","","полугодие","ПОЛУГОДИЕ","S n inan acc sg","","","то есть за первое _полугодие_ я прочитал все","е","и","д","о","г","у","S","ПОЛУГОДИЕ","S n inan acc sg","Е"
"8714","","я","Я","SPRO sg 1p - nom","","","за первое полугодие _я_ прочитал все учебники","я","","","","","","SPRO","Я","SPRO sg 1p - nom","Я"
"8715","","прочитал","ПРОЧЕСТЬ","V pf praet sg indic m -","","","первое полугодие я _прочитал_ все учебники за","л","а","т","и","ч","о","V","ПРОЧЕСТЬ","V pf praet sg indic m -","Ь"
"8716","","все","ВЕСЬ","APRO - nom pl plen - -","","","полугодие я прочитал _все_ учебники за первый","е","с","в","","","","APRO","ВЕСЬ","A - nom pl plen - -","Ь"
"8717","","учебники","УЧЕБНИК","S m inan nom pl","","","я прочитал все _учебники_ за первый класс","и","к","и","н","б","е","S","УЧЕБНИК","S m inan nom pl","К"
"8718","","за","ЗА","PR","","","прочитал все учебники _за_ первый класс /","а","з","","","","","PR","ЗА","PR","А"
"8719","","первый","ПЕРВЫЙ","ANUM - acc sg plen m inan","","","все учебники за _первый_ класс / и","й","ы","в","р","е","п","A","ПЕРВЫЙ","A - acc sg plen m inan","Й"
"8720","","класс","КЛАСС","S m inan acc sg","","","учебники за первый _класс_ / и опять","с","с","а","л","к","","S","КЛАСС","S m inan acc sg","С"
"8721","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8722","","и","И","CONJ","","","первый класс / _и_ опять ходил в","и","","","","","","CONJ","И","CONJ","И"
"8723","","опять","ОПЯТЬ","ADV - 0","","","класс / и _опять_ ходил в школу","ь","т","я","п","о","","ADV","ОПЯТЬ","ADV -","Ь"
"8724","","ходил","ХОДИТЬ","V ipf praet sg indic m -","","","/ и опять _ходил_ в школу так","л","и","д","о","х","","V","ХОДИТЬ","V ipf praet sg indic m -","Ь"
"8725","","в","В","PR","","","и опять ходил _в_ школу так /","в","","","","","","PR","В","PR","В"
"8726","","школу","ШКОЛА","S f inan loc sg","","","опять ходил в _школу_ так / ","у","л","о","к","ш","","S","ШКОЛА","S f inan acc sg","А"
"8727","","так","ТАК","ADV  0","","","ходил в школу _так_ /  не","к","а","т","","","","ADV","ТАК","ADV -","К"
"8728","","/","/","PUNCT","","","","","","","","","","PUNCT","","",""
"8729","<distinct form=""","","","","","","","","","","","","","","","",""
"8730","<dist>","не","","","","","","","","","","","","","","",""
"8731",""">","","","","","","","","","","","","","","","",""
"8732","","мне","Я","SPRO sg 1p - dat","",""," не  _мне_  уже было","е","н","м","","","","SPRO","Я","SPRO sg 1p - dat","Я"
"8733","</distinct>","","","","","","","","","","","","","","","",""
"8734","","уже","УЖЕ","ADV -","",""," мне  _уже_ было все понятно","е","ж","у","","","","ADV","УЖЕ","ADV -","Е"
"8735","","было","БЫТЬ","V ipf praet sg indic n -","","","мне  уже _было_ все понятно ,","о","л","ы","б","","","V","БЫТЬ","V ipf praet sg indic n -","Ь"
"8736","","все","ВСЕ","SPRO nom sg","",""," уже было _все_ понятно , все","е","с","в","","","","S","ВСЕ","S n - nom sg","Е"
"8737","","понятно","ПОНЯТНО","A=bref n","","","уже было все _понятно_ , все известно","о","н","т","я","н","о","ADV","ПОНЯТНО","ADV -","О"
"8738","",",",",","PUNCT","","","","","","","","","","PUNCT","","",""
